links,title,subur_name,unit_mly_jan,unit_mly_feb,unit_mly_mar,unit_mly_apr,unit_mly_may,unit_mly_jun,unit_mly_jul,unit_mly_aug,unit_mly_sep,unit_mly_oct,unit_mly_nov,unit_mly_dec,unit_mly_p_jan,unit_mly_p_feb,unit_mly_p_mar,unit_mly_p_apr,unit_mly_p_may,unit_mly_p_jun,unit_mly_p_jul,unit_mly_p_aug,unit_mly_p_sep,unit_mly_p_oct,unit_mly_p_nov,unit_mly_p_dec,unit_mly_nos_jan,unit_mly_nos_feb,unit_mly_nos_mar,unit_mly_nos_apr,unit_mly_nos_may,unit_mly_nos_jun,unit_mly_nos_jul,unit_mly_nos_aug,unit_mly_nos_sep,unit_mly_nos_oct,unit_mly_nos_nov,unit_mly_nos_dec
https://www.realestate.com.au/neighbourhoods/Beckenham-6107-wa,Beckenham,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,339000,340000,350000,339000,340000,341850,340000,340000,325000,332500,332500,332500,28,29,29,26,26,24,23,21,19,18,18,18
https://www.realestate.com.au/neighbourhoods/Bedford-6052-wa,Bedford,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,600000,587500,580000,580000,575000,580000,537000,537000,474500,460000,460000,474500,5,6,6,6,5,6,6,6,8,9,9,10
https://www.realestate.com.au/neighbourhoods/Bedfordale-6112-wa,Bedfordale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Beechboro-6063-wa,Beechboro,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,365000,387500,410000,395000,395000,395000,395000,395000,395000,425000,425000,425000,3,4,3,2,2,2,2,2,2,1,1,1
https://www.realestate.com.au/neighbourhoods/Beeliar-6164-wa,Beeliar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Beldon-6027-wa,Beldon,,2015-01-31,2015-02-28,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,,465000,465000,490000,490000,490000,527500,462500,462500,462500,462500,462500,,1,1,1,1,1,2,4,4,4,4,4,
https://www.realestate.com.au/neighbourhoods/Belhus-6069-wa,Belhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Bellevue-6056-wa,Bellevue,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,310000,310000,302500,302500,302500,302500,302500,295000,295000,295000,292500,292500,1,1,2,2,2,2,2,3,3,3,2,2
https://www.realestate.com.au/neighbourhoods/Belmont-6104-wa,Belmont,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,440000,440000,440000,429500,417000,419000,415000,415000,403250,399000,399000,399000,36,36,39,38,44,40,40,39,35,33,32,32
https://www.realestate.com.au/neighbourhoods/Bentley-6102-wa,Bentley,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,435000,430000,430000,430000,429000,408888,407444,406000,408888,405000,406000,406000,43,42,41,40,37,37,34,37,37,33,31,31
